feature,coefficient
loyalty_tier_sllver,1.7470400860138062
region_nrth,-1.6151673484180853
loyalty_tier_brnze,-1.1142999060378307
loyalty_tier_None,-0.4801212285983541
loyalty_tier_nan,0.4724996180542058
loyalty_tier_gld,-0.4220234263867567
region_west,0.3764166705434805
region_east,0.3392462347815184
region_south,0.33707241923127906
region_central,0.313429455636551
region_north,0.24900256822525618
loyalty_tier_gold,-0.07700524118518273
discount_applied,0.07012161298485113
loyalty_tier_silver,-0.06334354623033409
loyalty_tier_bronze,-0.06274635562955226
category_kitchen,0.05208345799631883
category_cleaning,-0.0420097168720698
category_personal care,-0.03184836710186725
category_outdoors,0.029689191051883317
category_storage,-0.007914565074260194
unit_price,0.006120865697154385
base_price,-0.0007144855273642549
order_month,1.6375789613221059e-15
order_dow,-3.0531133177191805e-16
